#BMG  <<<  The first 4 characters '#BMG' are the magic for a BMG text file.
#     <<<  Don't remove them!
#
#------------------------------------------------------------------------------
#
# This is a textual representation of a BMG file used in Nintendos "Mario Kart
# Wii". "Wiimms SZS Tools" can convert binary (raw) and text BMG files in both
# directions.
#
# More info about the BMG file format: http://szs.wiimm.de/r/wiki/BMG
#
#------------------------------------------------------------------------------


  23f0	= Landschaftstour
	+ 1. \z{802,170000}Nachdem du hüpfst, driftest du.\n
	+ 2. Drifte, um einen Turbo-Boost (Mini-Turbo) zu bekommen.
   cee	= Schau dir eine Erklärung zum Driften an.
  

   d48	= Regeln
   d49	= Hubraum
   d4a	= Charactere
   d4b	= Vehikel
   d4c	= Cups
   d4d	= Kurse
   d4e	= Arenen
   d4f	= Geister
   d50	= Kampf
   d51	= VS
   d52	= Klasse
   d53	= GÄHNccm
   d54	= 420ccm
   d55	= 666ccm
   d56	= moo666
   d57	= GÄHNccm für Betrunkene
   d58	= 420ccm für Geübte
   d59	= 666ccm für hax0rz\040
   d5a	= Spiegelverkehrte Kurse, 666ccm.
   d5c	= Robot-KI
   d5d	= Betrunken
   d5e	= Nüchtern
   d5f	= Apokalypse
   d60	= NoBoter
   d61	= Sturzbesoffene Roboter, die nicht gut fahren können.\040
   d62	= Roboter funktieren auf nromalem Level.
   d63	= Roboter sind schlauer als du.\040
   d64	= Party like it's 1814! Was sind Roboter?\040
   d66	= RoboVehikel
   d67	= Karts
   d68	= Bikes
   d69	= Beides
   d6a	= Roboter fahren nur Karts.
   d6b	= Roboter fahren nur Bikes.
   d6c	= Roboter fahren Karts und Bikes.
   d6d	= Roboter fahren nur Karts.
   d6e	= Roboter fahren nur Bikes.
   d6f	= Roboter fahren Karts und Bikes.
   d70	= Strecken
   d71	= Auswahl
   d72	= random.org
   d73	= Reihenfolge
   d74	= Wähle vor jedem Rennen die Strecke.
   d75	= random.org wählt die Strecken.
   d76	= Spiele Kurse nach ihrer Reihenfolge
   d77	= Wähle for jedem KRIEG die Arena.
   d78	= random.org wählt die Arenen.
   d79	= Spiele die Arenen nach ihrer Reihenfolge.
   d7a	= Anzahl Rennen
   d7b	= Rennen: \z{a02,1000000001}
   d7c	= Anzahl Siege
   d84	= Siege: \z{a02,1000000001}
   d85	= Teamrennen
   d86	= Teamrennen
   d87	= Solorennen
   d88	/
   d89	= Bestimme die Anzahl an Rennen.
   d8a	= Bestimme die Anzahl an Siegen.
   d8b	= Fahre in Teams um die meisten Punkte!
   d8c	= Fahre um die meisten Punkte und die beste Platzierung!
   d8d	= Stages
   d8e	= Hörst du auf?\040
   d8f	= Hörst du auf?
   d90	= Fahre ein Rennen mit diesen Regeln.
   d91	= Ziehe mit diesen Regeln in den KRIEG.
   d92	= Bestimme die Regeln für das Rennen.
   d93	= Bestimme die Regeln für den KRIEG.
   d94	/
   d98	= Items
   d99	= Ausgeglichen
   d9a	= AGGRESSIV
   d9b	= Strategisch
   d9c	= Keine
   d9d	= Items sind ausgeglichen
   d9e	= Starke Items erscheinen häufiger.
   d9f	= Starke Items erscheinen seltener.
   da0	= Keine Items, nur Fox.
  


   fac	= Japp
   fad	= Nee
  

  10e0	= Das näcchste Rennen ist 420ccm.
  10e1	= The next race is 666cc!
  10e2	= The next race is a Mirror Race!
  10e3	= \u{f069} Balloon Battle
  10e4	= \u{f068} Coin Runners
  10e5	= The next race is 420cc.
  10e6	= The next race is 666cc!
  10e7	= The next race is a Mirror Race!
  10e8	= The next race is 420cc.
  10e9	= The next race is 666cc!
  10ea	= The next race is a Mirror Race!
  
  
  
  #race patches
  
   3e8	/
   3e9	= Mach weiter...
   3ea	= Gib auf
   3eb	= Mach weiter...
   3ec	= Gib auf
   3ed	= Wechsel den Kurs
   3ee	= Wechsel den Charakter
   3ef	= Neustart.\040
   3f0	= Wähle eine Mission
   3f1	= Drücke hier
   3f2	= Nächstes
   3f3	= Neustart

   454	= Japp
   455	= Nee
   45c	=  
   45f	=  
   460	/
   461	= Ein schneller Teamgeist erscheint!
   4b1	~ 0x00000000
   4b1	= \x{f06c}
   4b2	~ 0x00000000
   4b2	= \x{f06b}
   4b3	~ 0x00000000
   4b3	= \x{f06a}
   4b4	~ 0x00000000
   4b4	= LOS!
   4b5	~ 0x00000000
   4b5	= ZIEL!
   4b6	~ 0x00000000
   4b6	= SIEGER!
   4b7	~ 0x00000000
   4b7	= VERLIERER!
   4b8	/
   4b9	/
   4ba	= Conglaturations!
   4bb	~ 0x00000000
   4bb	= NEUER REKORD!
   4bc	= Rekord
   4bd	= Beste Runde
   4be	= \c{red2}Das rote Team gewinnt!
   4bf	= \c{blue1}Das balaue Team gewinnt!
   4c0	= \c{red2}Das rote Team gewinnt!
   4c1	= \c{blue1}Das balaue Team gewinnt!
   4c2	= Unentschieden.
   4c3	= A winner is you!
   4c4	= Zweiter. Akzeptabel.
   4c5	= Du drittes Rad am Fahrrad!
   4c6	= LOL N00B!
   4c7	= \c{red2}Das rote Team verliert.
   4c8	= \c{blue1}Das blaue Team verliert.
   4c9	= \c{red2}Das rote Team verliert.
   4ca	= \c{blue1}Das blaue Team verliert.

   536	= ZEIT
   537	= RUNDE
   538	= PUNKTE
   539	= LIVE
 
 
   589	= GÄHNccm
   58a	= 420ccm
   58b	= 666ccm
   58c	= moo666

   

   
 #pause menu text---------
 
   5dc	= Item
   5dd	= Rotieren
   5de	= Beschleunigen
   5df	= Bremsen
   5e0	= Stopp
   5e1	/


  

